method,size,total_mb,chunks,streams,chunk_elems,iters,repeat,total_ms,effective_transfer_gb_s,speedup_vs_pageable_seq,speedup_vs_pinned_seq,max_abs_error,async_engine_count,concurrent_kernels,status
pinned_streams_1,16777216,64.000000,16,1,1048576,64,5,50.863160,2.638800,1.118915,1.003069,0.000000,2,1,ok
pinned_streams_2,16777216,64.000000,16,2,1048576,64,5,27.981600,4.796642,2.033892,1.823315,0.000000,2,1,ok
pinned_streams_4,16777216,64.000000,16,4,1048576,64,5,25.942120,5.173738,2.193790,1.966658,0.000000,2,1,ok
pinned_streams_8,16777216,64.000000,16,8,1048576,64,5,25.915060,5.179140,2.196081,1.968712,0.000000,2,1,ok
pageable_sequential,16777216,64.000000,2,1,8388608,256,5,53.019720,2.531468,1.000000,0.954637,0.000000,2,1,ok
pinned_sequential,16777216,64.000000,2,1,8388608,256,5,50.614560,2.651761,1.047519,1.000000,0.000000,2,1,ok
pinned_streams_1,16777216,64.000000,2,1,8388608,256,5,50.590700,2.653012,1.048013,1.000472,0.000000,2,1,ok
pinned_streams_2,16777216,64.000000,2,2,8388608,256,5,36.692520,3.657904,1.444974,1.379424,0.000000,2,1,ok
pinned_streams_4,16777216,64.000000,2,4,8388608,256,5,,,,,,,,invalid_streams_gt_chunks
pinned_streams_8,16777216,64.000000,2,8,8388608,256,5,,,,,,,,invalid_streams_gt_chunks
pageable_sequential,16777216,64.000000,4,1,4194304,256,5,54.216340,2.475596,1.000000,0.942688,0.000000,2,1,ok
pinned_sequential,16777216,64.000000,4,1,4194304,256,5,51.109120,2.626101,1.060796,1.000000,0.000000,2,1,ok
pinned_streams_1,16777216,64.000000,4,1,4194304,256,5,50.707280,2.646912,1.069202,1.007925,0.000000,2,1,ok
pinned_streams_2,16777216,64.000000,4,2,4194304,256,5,32.267960,4.159474,1.680191,1.583897,0.000000,2,1,ok
pinned_streams_4,16777216,64.000000,4,4,4194304,256,5,30.737320,4.366605,1.763860,1.662771,0.000000,2,1,ok
pinned_streams_8,16777216,64.000000,4,8,4194304,256,5,,,,,,,,invalid_streams_gt_chunks
pageable_sequential,16777216,64.000000,8,1,2097152,256,5,57.121060,2.349707,1.000000,0.933554,0.000000,2,1,ok
pinned_sequential,16777216,64.000000,8,1,2097152,256,5,53.325620,2.516946,1.071175,1.000000,0.000000,2,1,ok
pinned_streams_1,16777216,64.000000,8,1,2097152,256,5,52.347760,2.563963,1.091184,1.018680,0.000000,2,1,ok
pinned_streams_2,16777216,64.000000,8,2,2097152,256,5,30.664740,4.376940,1.862760,1.738988,0.000000,2,1,ok
pinned_streams_4,16777216,64.000000,8,4,2097152,256,5,27.554760,4.870945,2.073002,1.935260,0.000000,2,1,ok
pinned_streams_8,16777216,64.000000,8,8,2097152,256,5,27.737280,4.838893,2.059361,1.922525,0.000000,2,1,ok
pageable_sequential,16777216,64.000000,16,1,1048576,256,5,61.530380,2.181325,1.000000,0.908663,0.000000,2,1,ok
pinned_sequential,16777216,64.000000,16,1,1048576,256,5,55.910360,2.400588,1.100518,1.000000,0.000000,2,1,ok
pinned_streams_1,16777216,64.000000,16,1,1048576,256,5,56.311020,2.383507,1.092688,0.992885,0.000000,2,1,ok
pinned_streams_2,16777216,64.000000,16,2,1048576,256,5,31.108720,4.314473,1.977914,1.797257,0.000000,2,1,ok
pinned_streams_4,16777216,64.000000,16,4,1048576,256,5,26.150640,5.132483,2.352921,2.138011,0.000000,2,1,ok
pinned_streams_8,16777216,64.000000,16,8,1048576,256,5,26.213140,5.120246,2.347311,2.132913,0.000000,2,1,ok
